movieId,title,rating_count,rating_mean
1,Toy Story (1995),215,3.9209302325581397
2,Jumanji (1995),110,3.4318181818181817
3,Grumpier Old Men (1995),52,3.2596153846153846
6,Heat (1995),102,3.946078431372549
7,Sabrina (1995),54,3.185185185185185
10,GoldenEye (1995),132,3.496212121212121
11,"American President, The (1995)",70,3.6714285714285713
16,Casino (1995),82,3.926829268292683
17,Sense and Sensibility (1995),67,3.7761194029850746
19,Ace Ventura: When Nature Calls (1995),88,2.727272727272727
21,Get Shorty (1995),89,3.49438202247191
25,Leaving Las Vegas (1995),76,3.625
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177,3.983050847457627
34,Babe (1995),128,3.65234375
36,Dead Man Walking (1995),67,3.8358208955223883
39,Clueless (1995),104,3.293269230769231
47,Seven (a.k.a. Se7en) (1995),203,3.9753694581280787
48,Pocahontas (1995),68,3.1470588235294117
50,"Usual Suspects, The (1995)",204,4.237745098039215
62,Mr. Holland's Opus (1995),80,3.70625
70,From Dusk Till Dawn (1996),55,3.5090909090909093
95,Broken Arrow (1996),84,3.0238095238095237
104,Happy Gilmore (1996),99,3.4393939393939394
110,Braveheart (1995),237,4.031645569620253
111,Taxi Driver (1976),104,4.105769230769231
141,"Birdcage, The (1996)",86,3.494186046511628
145,Bad Boys (1995),51,3.2450980392156863
150,Apollo 13 (1995),201,3.845771144278607
153,Batman Forever (1995),137,2.9160583941605838
158,Casper (1995),62,2.806451612903226
160,Congo (1995),57,2.8771929824561404
161,Crimson Tide (1995),103,3.6359223300970873
163,Desperado (1995),66,3.5606060606060606
165,Die Hard: With a Vengeance (1995),144,3.5555555555555554
168,First Knight (1995),54,3.0833333333333335
172,Johnny Mnemonic (1995),53,2.6792452830188678
173,Judge Dredd (1995),62,2.6693548387096775
185,"Net, The (1995)",112,3.0401785714285716
208,Waterworld (1995),115,2.9130434782608696
223,Clerks (1994),104,3.855769230769231
225,Disclosure (1994),52,3.5384615384615383
231,Dumb & Dumber (Dumb and Dumber) (1994),133,3.0601503759398496
235,Ed Wood (1994),70,3.6785714285714284
253,Interview with the Vampire: The Vampire Chronicles (1994),109,3.458715596330275
260,Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155
266,Legends of the Fall (1994),68,3.3970588235294117
288,Natural Born Killers (1994),92,3.233695652173913
292,Outbreak (1995),101,3.4257425742574257
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133,4.018796992481203
296,Pulp Fiction (1994),307,4.197068403908795
300,Quiz Show (1994),81,3.5185185185185186
316,Stargate (1994),140,3.375
317,"Santa Clause, The (1994)",81,3.2037037037037037
318,"Shawshank Redemption, The (1994)",317,4.429022082018927
329,Star Trek: Generations (1994),108,3.3935185185185186
337,What's Eating Gilbert Grape (1993),77,3.7662337662337664
339,While You Were Sleeping (1995),98,3.4693877551020407
344,Ace Ventura: Pet Detective (1994),161,3.040372670807453
349,Clear and Present Danger (1994),110,3.6045454545454545
350,"Client, The (1994)",57,3.3859649122807016
353,"Crow, The (1994)",64,3.609375
356,Forrest Gump (1994),329,4.164133738601824
357,Four Weddings and a Funeral (1994),103,3.5194174757281553
364,"Lion King, The (1994)",172,3.941860465116279
367,"Mask, The (1994)",157,3.1847133757961785
368,Maverick (1994),74,3.5
370,Naked Gun 33 1/3: The Final Insult (1994),58,3.060344827586207
377,Speed (1994),171,3.5292397660818713
380,True Lies (1994),178,3.497191011235955
410,Addams Family Values (1993),84,3.1011904761904763
420,Beverly Hills Cop III (1994),59,2.7203389830508473
432,City Slickers II: The Legend of Curly's Gold (1994),55,2.6454545454545455
434,Cliffhanger (1993),101,3.0346534653465347
435,Coneheads (1993),63,2.4206349206349205
440,Dave (1993),76,3.5460526315789473
442,Demolition Man (1993),81,3.0925925925925926
454,"Firm, The (1993)",101,3.5346534653465347
457,"Fugitive, The (1993)",190,3.9921052631578946
466,Hot Shots! Part Deux (1993),60,2.8666666666666667
474,In the Line of Fire (1993),70,3.692857142857143
480,Jurassic Park (1993),238,3.75
485,Last Action Hero (1993),53,2.9339622641509435
500,Mrs. Doubtfire (1993),144,3.388888888888889
508,Philadelphia (1993),66,3.6136363636363638
509,"Piano, The (1993)",61,3.540983606557377
520,Robin Hood: Men in Tights (1993),69,3.130434782608696
527,Schindler's List (1993),220,4.225
539,Sleepless in Seattle (1993),106,3.4716981132075473
541,Blade Runner (1982),124,4.100806451612903
551,"Nightmare Before Christmas, The (1993)",93,3.553763440860215
552,"Three Musketeers, The (1993)",61,3.262295081967213
553,Tombstone (1993),65,3.8153846153846156
555,True Romance (1993),65,3.8
586,Home Alone (1990),116,2.9956896551724137
587,Ghost (1990),115,3.4347826086956523
588,Aladdin (1992),183,3.7923497267759565
589,Terminator 2: Judgment Day (1991),224,3.970982142857143
590,Dances with Wolves (1990),164,3.8353658536585367
592,Batman (1989),189,3.4285714285714284
593,"Silence of the Lambs, The (1991)",279,4.161290322580645
594,Snow White and the Seven Dwarfs (1937),77,3.616883116883117
595,Beauty and the Beast (1991),146,3.7705479452054793
596,Pinocchio (1940),60,3.45
597,Pretty Woman (1990),135,3.4851851851851854
608,Fargo (1996),181,4.116022099447513
648,Mission: Impossible (1996),162,3.537037037037037
653,Dragonheart (1996),65,3.0923076923076924
673,Space Jam (1996),53,2.707547169811321
708,"Truth About Cats & Dogs, The (1996)",58,3.3879310344827585
733,"Rock, The (1996)",121,3.6404958677685952
736,Twister (1996),123,3.321138211382114
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),97,4.268041237113402
