movieId,title,rating_count,rating_mean,imdbId,tmdbId
1,Toy Story (1995),215,3.92093023255814,114709,862.0
2,Jumanji (1995),110,3.4318181818181817,113497,8844.0
3,Grumpier Old Men (1995),52,3.2596153846153846,113228,15602.0
6,Heat (1995),102,3.946078431372549,113277,949.0
7,Sabrina (1995),54,3.185185185185185,114319,11860.0
10,GoldenEye (1995),132,3.496212121212121,113189,710.0
11,"American President, The (1995)",70,3.6714285714285713,112346,9087.0
16,Casino (1995),82,3.926829268292683,112641,524.0
17,Sense and Sensibility (1995),67,3.776119402985074,114388,4584.0
19,Ace Ventura: When Nature Calls (1995),88,2.727272727272727,112281,9273.0
21,Get Shorty (1995),89,3.49438202247191,113161,8012.0
25,Leaving Las Vegas (1995),76,3.625,113627,451.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),177,3.983050847457627,114746,63.0
34,Babe (1995),128,3.65234375,112431,9598.0
36,Dead Man Walking (1995),67,3.835820895522388,112818,687.0
39,Clueless (1995),104,3.293269230769231,112697,9603.0
47,Seven (a.k.a. Se7en) (1995),203,3.9753694581280783,114369,807.0
48,Pocahontas (1995),68,3.1470588235294117,114148,10530.0
50,"Usual Suspects, The (1995)",204,4.237745098039215,114814,629.0
62,Mr. Holland's Opus (1995),80,3.70625,113862,2054.0
70,From Dusk Till Dawn (1996),55,3.5090909090909093,116367,755.0
95,Broken Arrow (1996),84,3.0238095238095237,115759,9208.0
104,Happy Gilmore (1996),99,3.439393939393939,116483,9614.0
110,Braveheart (1995),237,4.031645569620253,112573,197.0
111,Taxi Driver (1976),104,4.105769230769231,75314,103.0
141,"Birdcage, The (1996)",86,3.494186046511628,115685,11000.0
145,Bad Boys (1995),51,3.2450980392156863,112442,9737.0
150,Apollo 13 (1995),201,3.845771144278607,112384,568.0
153,Batman Forever (1995),137,2.916058394160584,112462,414.0
158,Casper (1995),62,2.806451612903226,112642,8839.0
160,Congo (1995),57,2.8771929824561404,112715,10329.0
161,Crimson Tide (1995),103,3.6359223300970873,112740,8963.0
163,Desperado (1995),66,3.560606060606061,112851,8068.0
165,Die Hard: With a Vengeance (1995),144,3.5555555555555554,112864,1572.0
168,First Knight (1995),54,3.0833333333333335,113071,6520.0
172,Johnny Mnemonic (1995),53,2.679245283018868,113481,9886.0
173,Judge Dredd (1995),62,2.6693548387096775,113492,9482.0
185,"Net, The (1995)",112,3.0401785714285716,113957,1642.0
208,Waterworld (1995),115,2.9130434782608696,114898,9804.0
223,Clerks (1994),104,3.855769230769231,109445,2292.0
225,Disclosure (1994),52,3.5384615384615383,109635,8984.0
231,Dumb & Dumber (Dumb and Dumber) (1994),133,3.0601503759398496,109686,8467.0
235,Ed Wood (1994),70,3.678571428571429,109707,522.0
253,Interview with the Vampire: The Vampire Chronicles (1994),109,3.458715596330275,110148,628.0
260,Star Wars: Episode IV - A New Hope (1977),251,4.231075697211155,76759,11.0
266,Legends of the Fall (1994),68,3.3970588235294117,110322,4476.0
288,Natural Born Killers (1994),92,3.233695652173913,110632,241.0
292,Outbreak (1995),101,3.4257425742574257,114069,6950.0
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),133,4.018796992481203,110413,101.0
296,Pulp Fiction (1994),307,4.197068403908795,110912,680.0
300,Quiz Show (1994),81,3.5185185185185186,110932,11450.0
316,Stargate (1994),140,3.375,111282,2164.0
317,"Santa Clause, The (1994)",81,3.2037037037037037,111070,11395.0
318,"Shawshank Redemption, The (1994)",317,4.429022082018927,111161,278.0
329,Star Trek: Generations (1994),108,3.3935185185185186,111280,193.0
337,What's Eating Gilbert Grape (1993),77,3.7662337662337664,108550,1587.0
339,While You Were Sleeping (1995),98,3.4693877551020407,114924,2064.0
344,Ace Ventura: Pet Detective (1994),161,3.040372670807453,109040,3049.0
349,Clear and Present Danger (1994),110,3.6045454545454545,109444,9331.0
350,"Client, The (1994)",57,3.3859649122807016,109446,10731.0
353,"Crow, The (1994)",64,3.609375,109506,9495.0
356,Forrest Gump (1994),329,4.164133738601824,109830,13.0
357,Four Weddings and a Funeral (1994),103,3.5194174757281553,109831,712.0
364,"Lion King, The (1994)",172,3.941860465116279,110357,8587.0
367,"Mask, The (1994)",157,3.1847133757961785,110475,854.0
368,Maverick (1994),74,3.5,110478,9359.0
370,Naked Gun 33 1/3: The Final Insult (1994),58,3.060344827586207,110622,36593.0
377,Speed (1994),171,3.5292397660818713,111257,1637.0
380,True Lies (1994),178,3.497191011235955,111503,36955.0
410,Addams Family Values (1993),84,3.1011904761904763,106220,2758.0
420,Beverly Hills Cop III (1994),59,2.7203389830508473,109254,306.0
432,City Slickers II: The Legend of Curly's Gold (1994),55,2.6454545454545455,109439,11310.0
434,Cliffhanger (1993),101,3.0346534653465347,106582,9350.0
435,Coneheads (1993),63,2.4206349206349205,106598,9612.0
440,Dave (1993),76,3.5460526315789473,106673,11566.0
442,Demolition Man (1993),81,3.092592592592593,106697,9739.0
454,"Firm, The (1993)",101,3.5346534653465347,106918,37233.0
457,"Fugitive, The (1993)",190,3.9921052631578946,106977,5503.0
466,Hot Shots! Part Deux (1993),60,2.8666666666666667,107144,9255.0
474,In the Line of Fire (1993),70,3.692857142857143,107206,9386.0
480,Jurassic Park (1993),238,3.75,107290,329.0
485,Last Action Hero (1993),53,2.9339622641509435,107362,9593.0
500,Mrs. Doubtfire (1993),144,3.388888888888889,107614,788.0
508,Philadelphia (1993),66,3.613636363636364,107818,9800.0
509,"Piano, The (1993)",61,3.540983606557377,107822,713.0
520,Robin Hood: Men in Tights (1993),69,3.130434782608696,107977,8005.0
527,Schindler's List (1993),220,4.225,108052,424.0
539,Sleepless in Seattle (1993),106,3.4716981132075473,108160,858.0
541,Blade Runner (1982),124,4.100806451612903,83658,78.0
551,"Nightmare Before Christmas, The (1993)",93,3.553763440860215,107688,9479.0
552,"Three Musketeers, The (1993)",61,3.262295081967213,108333,10057.0
553,Tombstone (1993),65,3.815384615384616,108358,11969.0
555,True Romance (1993),65,3.8,108399,319.0
586,Home Alone (1990),116,2.9956896551724137,99785,771.0
587,Ghost (1990),115,3.4347826086956523,99653,251.0
588,Aladdin (1992),183,3.792349726775957,103639,812.0
589,Terminator 2: Judgment Day (1991),224,3.970982142857143,103064,280.0
590,Dances with Wolves (1990),164,3.8353658536585367,99348,581.0
